id,original_path,suggested_filename,area,status,confidence,size,notes,renamed_path
MKT-01-jira-public-home-long-page,Khôi/Jira1_Home.jpeg,MKT-01-jira-public-home-long-page.jpeg,Marketing / public Jira website,out_of_scope_for_project_app,medium,935x3918,"Trang marketing/home rất dài; chỉ dùng nếu cần clone landing page, không dùng để suy ra project app.",renamed_screenshots/Marketing/MKT-01-jira-public-home-long-page.jpeg
AUTH-01-jira-signup-page,Khôi/Jira2_signup.jpeg,AUTH-01-jira-signup-page.jpeg,Authentication / signup,needs_more_for_auth,high,1763x2561,Có màn signup nhưng chưa đủ login/register/forgot password theo luồng auth đầy đủ.,renamed_screenshots/Authentication/AUTH-01-jira-signup-page.jpeg
AUTH-02-select-site-to-join-space-modal,Khôi/Jira3_SelectSiteToJoinSpace.jpeg,AUTH-02-select-site-to-join-space-modal.jpeg,Authentication / onboarding,usable,high,1763x844,Modal chọn site/space sau đăng nhập/đăng ký.,renamed_screenshots/Authentication/AUTH-02-select-site-to-join-space-modal.jpeg
DASH-02-dashboard-create-modal,Kiệt/Dashboard_Create.png,DASH-02-dashboard-create-modal.png,Dashboard,usable,high,1919x905,Modal tạo dashboard.,renamed_screenshots/Dashboard/DASH-02-dashboard-create-modal.png
DASH-05-dashboard-edit-view,Kiệt/Dashboard_Edit.png,DASH-05-dashboard-edit-view.png,Dashboard,usable,high,1919x907,Màn dashboard edit với gadget/layout.,renamed_screenshots/Dashboard/DASH-05-dashboard-edit-view.png
DASH-04-dashboard-add-gadget-panel,Kiệt/Dashboard_Gadgets.png,DASH-04-dashboard-add-gadget-panel.png,Dashboard,usable,high,381x715,Panel add gadget.,renamed_screenshots/Dashboard/DASH-04-dashboard-add-gadget-panel.png
DASH-03-dashboard-layout-dropdown,Kiệt/Dashboard_Layouts.png,DASH-03-dashboard-layout-dropdown.png,Dashboard,usable,high,405x106,Dropdown đổi layout dashboard.,renamed_screenshots/Dashboard/DASH-03-dashboard-layout-dropdown.png
DASH-01-dashboard-list,Kiệt/Dashboard_List.png,DASH-01-dashboard-list.png,Dashboard,usable,high,1919x902,Danh sách dashboard dark mode.,renamed_screenshots/Dashboard/DASH-01-dashboard-list.png
BACKLOG-01-project-backlog-light,Old/Backlog1.jpeg,BACKLOG-01-project-backlog-light.png,Project tab / Backlog,usable,medium,1763x844,Ảnh backlog light mode.,renamed_screenshots/Project_tab/BACKLOG-01-project-backlog-light.png
BACKLOG-02-project-backlog-with-detail-panel-light,Old/Backlog2.jpeg,BACKLOG-02-project-backlog-with-detail-panel-light.jpeg,Project tab / Backlog,usable,medium,1763x844,Backlog với panel detail bên phải.,renamed_screenshots/Project_tab/BACKLOG-02-project-backlog-with-detail-panel-light.jpeg
